code,name
3600,那覇地方法務局
3601,那覇地方法務局沖縄支局
3602,那覇地方法務局名護支局
3603,那覇地方法務局宮古島支局
3604,那覇地方法務局石垣支局
3608,那覇地方法務局宜野湾出張所
3700,仙台法務局
3701,仙台法務局大河原支局
3702,仙台法務局古川支局
3703,仙台法務局石巻支局
3704,仙台法務局登米支局
3705,仙台法務局気仙沼支局
3706,仙台法務局塩竈支局
3708,仙台法務局名取出張所
3800,福島地方法務局
3801,福島地方法務局相馬支局
3802,福島地方法務局郡山支局
3803,福島地方法務局白河支局
3804,福島地方法務局若松支局
3805,福島地方法務局いわき支局
3808,福島地方法務局二本松出張所
3824,福島地方法務局須賀川出張所
3836,福島地方法務局田島出張所
3842,福島地方法務局富岡出張所
3900,山形地方法務局
3901,山形地方法務局寒河江支局
3902,山形地方法務局新庄支局
3903,山形地方法務局米沢支局
3904,山形地方法務局鶴岡支局
3905,山形地方法務局酒田支局
3909,山形地方法務局村山出張所
4000,盛岡地方法務局
4001,盛岡地方法務局花巻支局
4002,盛岡地方法務局二戸支局
4003,盛岡地方法務局遠野支局
4004,盛岡地方法務局宮古支局
4005,盛岡地方法務局一関支局
4006,盛岡地方法務局水沢支局
4015,盛岡地方法務局北上出張所
4027,盛岡地方法務局大船渡出張所
4100,秋田地方法務局
4101,秋田地方法務局能代支局
4102,秋田地方法務局本荘支局
4103,秋田地方法務局大館支局
4104,秋田地方法務局横手支局
4105,秋田地方法務局湯沢支局
4106,秋田地方法務局大曲支局
4200,青森地方法務局
4201,青森地方法務局五所川原支局
4202,青森地方法務局弘前支局
4204,青森地方法務局八戸支局
4211,青森地方法務局むつ支局
4234,青森地方法務局十和田支局
4300,札幌法務局
4301,札幌法務局岩見沢支局
4302,札幌法務局室蘭支局
4304,札幌法務局小樽支局
4306,札幌法務局北出張所
4307,札幌法務局南出張所
4308,札幌法務局江別出張所
4309,札幌法務局恵庭出張所
4313,札幌法務局西出張所
4315,札幌法務局滝川支局
4316,札幌法務局白石出張所
4323,札幌法務局苫小牧支局
4329,札幌法務局日高支局
4334,札幌法務局倶知安支局
4400,函館地方法務局
4401,函館地方法務局江差支局
4402,函館地方法務局寿都支局
4409,函館地方法務局八雲出張所
4500,旭川地方法務局
4501,旭川地方法務局名寄支局
4502,旭川地方法務局留萌支局
4503,旭川地方法務局稚内支局
4514,旭川地方法務局紋別支局
4600,釧路地方法務局
4601,釧路地方法務局帯広支局
4603,釧路地方法務局北見支局
4604,釧路地方法務局根室支局
4625,釧路地方法務局中標津出張所
4700,高松法務局
4701,高松法務局丸亀支局
4702,高松法務局観音寺支局
4705,高松法務局寒川出張所
4708,高松法務局土庄出張所
4800,徳島地方法務局
4801,徳島地方法務局阿南支局
4802,徳島地方法務局美馬支局
4900,高知地方法務局
4902,高知地方法務局須崎支局
4903,高知地方法務局安芸支局
4904,高知地方法務局四万十支局
4906,高知地方法務局いの支局
4913,高知地方法務局香美支局
5000,松山地方法務局
5001,松山地方法務局大洲支局
5002,松山地方法務局八幡浜支局
5003,松山地方法務局西条支局
5004,松山地方法務局今治支局
5005,松山地方法務局宇和島支局
5009,松山地方法務局砥部出張所
5022,松山地方法務局四国中央支局
